player_name,player_id,Player Position
Alim Öztürk,19896,DF
Antoine Semenyo,19281,ATT
Bailey Wright,19266,DF
Benjamin Mbunga-Kimpioka,19906,ATT
Charlie Wyke,19918,ATT
Chris Maguire,19916,MID
Connor McLaughlin,19633,DF
Denver Hume,19888,DF
Duncan Watmore,19913,MID
George Dobson,20436,MID
Grant Leadbitter,19904,MID
Joel Lynch,19581,DF
Jon McLaughlin,19880,GK
Jordan Willis,19992,DF
Josh Scowen,19589,MID
Kyle Lafferty,1759,ATT
Laurens De Bock,8693,DF
Lee Burge,19977,GK
Luke O'Nien,19911,DF
Lynden Gooch,19901,MID
Marc McNulty,44853,ATT
Max Power,19912,MID
Tom Flanagan,19887,DF
Will Grigg,19915,ATT
Dylan McGeouch,19908,MID
Aiden McGeady,19907,MID
Elliot Embleton,17838,MID
