,Round,Day,Date,Time,Venue,Result,GF,GA,Opponent,Attendance,Captain,Formation,Referee,event_id,Manager,League Position ,squadnumber,team_name,player_id,rating,minutes_played,shotstotal,shotson,offsides,gconceded,gassists,gtotal,ptotal,pkey,paccuracy,ttotal,tblocks,tinterc,dtotal,dwon,dattempts,dsuccess,dpast,fdrawn,fcommit,red,yellow,penaltysuccess,player_name,Game,Player Position
0,Matchweek 2,Sat,10/08/2019,15:00 (00:00),Away,D,1.0,1.0,Ipswich Town,"24,051",Aiden McGeady,4_3_3,Neil Hair,167939.0,JR,14.0,1.0,Sunderland,19880,7.6,90.0,0.0,0.0,,1.0,0.0,0.0,15.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jon McLaughlin,Ipswich Town 10/08/2019,GK
1,Matchweek 3,Sat,17/08/2019,12:30 (21:30),Home,W,2.0,1.0,Portsmouth,"29,140",Grant Leadbitter,4_2_3_1,Michael Salisbury,167955.0,JR,9.0,1.0,Sunderland,19880,6.6,90.0,0.0,0.0,,1.0,0.0,0.0,10.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Jon McLaughlin,Portsmouth 17/08/2019,GK
2,Matchweek 4,Tue,20/08/2019,19:45 (04:45),Away,W,2.0,1.0,Rochdale,"5,258",Grant Leadbitter,4_2_3_1,John Busby,167966.0,JR,6.0,1.0,Sunderland,19880,7.6,90.0,0.0,0.0,,1.0,0.0,0.0,21.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jon McLaughlin,Rochdale 20/08/2019,GK
3,Matchweek 5,Sat,24/08/2019,15:00 (00:00),Home,W,3.0,1.0,AFC Wimbledon,"29,725",Grant Leadbitter,4_2_3_1,Anthony Backhouse,167979.0,JR,4.0,1.0,Sunderland,19880,6.2,90.0,0.0,0.0,,1.0,0.0,0.0,15.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jon McLaughlin,AFC Wimbledon 24/08/2019,GK
4,Matchweek 6,Sat,31/08/2019,15:00 (00:00),Away,L,0.0,3.0,P'borough Utd,"10,005",Grant Leadbitter,4_2_3_1,Craig Hicks,167991.0,JR,6.0,1.0,Sunderland,19880,5.8,90.0,0.0,0.0,,3.0,0.0,0.0,14.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jon McLaughlin,P'borough Utd 31/08/2019,GK
5,Matchweek 8,Sat,14/09/2019,15:00 (00:00),Away,W,3.0,1.0,Acc'ton Stanley,"4,164",Grant Leadbitter,4_2_3_1,Lee Swabey,168007.0,JR,6.0,1.0,Sunderland,19880,6.8,90.0,0.0,0.0,,1.0,0.0,0.0,19.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Jon McLaughlin,Acc'ton Stanley 14/09/2019,GK
6,Matchweek 9,Tue,17/09/2019,19:45 (04:45),Home,D,1.0,1.0,Rotherham Utd,"29,078",Aiden McGeady,4_2_3_1,Ben Toner,168026.0,JR,5.0,1.0,Sunderland,19880,6.6,90.0,0.0,0.0,,1.0,0.0,0.0,5.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Jon McLaughlin,Rotherham Utd 17/09/2019,GK
7,Matchweek 10,Sat,21/09/2019,15:00 (00:00),Away,D,1.0,1.0,Bolton,"12,026",Grant Leadbitter,4_2_3_1,Oliver Yates,168032.0,JR,5.0,1.0,Sunderland,19880,6.4,90.0,0.0,0.0,,1.0,0.0,0.0,20.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jon McLaughlin,Bolton 21/09/2019,GK
8,Matchweek 11,Sat,28/09/2019,15:00 (00:00),Home,W,2.0,1.0,MK Dons,"29,954",Jordan Willis,4_2_3_1,Paul Marsden,168053.0,JR,5.0,1.0,Sunderland,19880,7.2,90.0,0.0,0.0,,1.0,0.0,0.0,10.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jon McLaughlin,MK Dons 28/09/2019,GK
9,Matchweek 12,Sat,05/10/2019,15:00 (00:00),Away,L,0.0,2.0,Lincoln City,"10,264",Jordan Willis,4_2_3_1,Brett Huxtable,168061.0,JR,6.0,1.0,Sunderland,19880,6.1,90.0,0.0,0.0,,2.0,0.0,0.0,10.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jon McLaughlin,Lincoln City 05/10/2019,GK
10,Matchweek 14,Sat,19/10/2019,15:00 (01:00),Away,L,0.0,1.0,Wycombe,"8,395",Grant Leadbitter,4_2_3_1,Kevin Johnson,168089.0,PP,9.0,,Sunderland,19880,,,,,,,,,,,,,,,,,,,,,,,,,Jon McLaughlin,Wycombe 19/10/2019,GK
11,Matchweek 15,Tue,22/10/2019,19:45 (05:45),Home,W,5.0,0.0,Tranmere Rovers,"28,551",Max Power,4_2_3_1,Carl Boyeson,168100.0,PP,6.0,,Sunderland,19880,,,,,,,,,,,,,,,,,,,,,,,,,Jon McLaughlin,Tranmere Rovers 22/10/2019,GK
